"gene_accession_id","disease_id"
"MGI:6476960","DOID:0060198"
"MGI:5544192","DOID:0050752"
"MGI:4818966","DOID:0050801"
"MGI:88064","DOID:4674"
"MGI:95543","DOID:4674"
"MGI:1923799","DOID:0060668"
"MGI:107444","DOID:0060668"
"MGI:109360","DOID:0060668"
"MGI:105098","DOID:1932"
"MGI:4830894","DOID:1932"
"MGI:98347","DOID:1932"
"MGI:1330810","DOID:0090119"
"MGI:1341817","DOID:0060604"
"MGI:88025","DOID:0111700"
"MGI:95683","DOID:0060850"
"MGI:96533","DOID:0060850"
"MGI:88095","DOID:3755"
"MGI:96273","DOID:2030"
"MGI:107656","DOID:12449"
"MGI:1197013","DOID:12449"
"MGI:88084","DOID:14755"
"MGI:88587","DOID:0090122"
"MGI:2450860","DOID:0090122"
"MGI:94876","DOID:0090123"
"MGI:1196466","DOID:0110081"
"MGI:5660495","DOID:0110083"
"MGI:96650","DOID:0110083"
"MGI:6501729","DOID:0110083"
"MGI:105381","DOID:0110074"
"MGI:109611","DOID:0110076"
"MGI:6188928","DOID:0110077"
"MGI:6188927","DOID:0110077"
"MGI:97370","DOID:0050644"
"MGI:1918961","DOID:0050645"
"MGI:107471","DOID:0060688"
"MGI:95392","DOID:0060688"
"MGI:96680","DOID:0060688"
"MGI:1338946","DOID:0060688"
"MGI:4431196","DOID:0060688"
"MGI:104873","DOID:0050461"
"MGI:2146906","DOID:0110085"
"MGI:1915509","DOID:0110086"
"MGI:1915509","DOID:0110087"
"MGI:107736","DOID:0110087"
"MGI:96615","DOID:2841"
"MGI:102672","DOID:2841"
"MGI:5444500","DOID:2841"
"MGI:1888984","DOID:2841"
"MGI:105367","DOID:2841"
"MGI:107202","DOID:12704"
"MGI:96170","DOID:0050682"
"MGI:2181407","DOID:3310"
"MGI:3845900","DOID:3310"
"MGI:5317860","DOID:3310"
"MGI:1855696","DOID:3310"
"MGI:107361","DOID:3310"
"MGI:104741","DOID:3310"
"MGI:1931595","DOID:3310"
"MGI:96556","DOID:3310"
"MGI:1891009","DOID:3310"
"MGI:2143599","DOID:3310"
"MGI:96541","DOID:3310"
"MGI:6330733","DOID:3310"
"MGI:107936","DOID:3310"
"MGI:1920428","DOID:3310"
"MGI:1919163","DOID:3310"
"MGI:1926370","DOID:3310"
"MGI:5564934","DOID:3310"
"MGI:5563690","DOID:3310"
"MGI:5563664","DOID:3310"
"MGI:1261423","DOID:3310"
"MGI:103289","DOID:3310"
"MGI:3850184","DOID:3310"
"MGI:1096335","DOID:3310"
"MGI:1913331","DOID:3310"
"MGI:3621155","DOID:3310"
"MGI:95553","DOID:0110098"
"MGI:98821","DOID:0050649"
"MGI:88613","DOID:0110106"
"MGI:97380","DOID:0110106"
"MGI:3522243","DOID:0110106"
"MGI:4821838","DOID:0110106"
"MGI:95664","DOID:0110107"
"MGI:97350","DOID:0110112"
"MGI:97402","DOID:0060689"
"MGI:96223","DOID:0060689"
"MGI:1930205","DOID:0060689"
"MGI:3584243","DOID:0050651"
"MGI:88180","DOID:0050651"
"MGI:88613","DOID:0050651"
"MGI:3522243","DOID:0050651"
"MGI:2671284","DOID:0050651"
"MGI:2682064","DOID:0050651"
"MGI:1100864","DOID:0050651"
"MGI:4821841","DOID:0050651"
"MGI:1921272","DOID:0050651"
"MGI:2449205","DOID:0050651"
"MGI:8215111","DOID:1094"
"MGI:1928478","DOID:1094"
"MGI:2685233","DOID:1094"
"MGI:1927140","DOID:1094"
"MGI:4452244","DOID:1094"
"MGI:98331","DOID:1094"
"MGI:98475","DOID:1094"
"MGI:1098283","DOID:1094"
"MGI:5529514","DOID:1094"
"MGI:2179277","DOID:1094"
"MGI:2441950","DOID:1094"
"MGI:98743","DOID:1094"
"MGI:94862","DOID:1094"
"MGI:6259172","DOID:1094"
"MGI:101764","DOID:1094"
"MGI:109126","DOID:1094"
"MGI:87891","DOID:1094"
"MGI:1270841","DOID:1094"
"MGI:88424","DOID:1094"
"MGI:88355","DOID:1094"
"MGI:1355272","DOID:1094"
"MGI:88025","DOID:12849"
"MGI:5661470","DOID:417"
"MGI:1920455","DOID:417"
"MGI:1196990","DOID:417"
"MGI:1890220","DOID:417"
"MGI:5317860","DOID:718"
"MGI:1855696","DOID:718"
"MGI:1334462","DOID:0081242"
"MGI:95484","DOID:6688"
"MGI:99255","DOID:6688"
"MGI:1261423","DOID:0110116"
"MGI:1338803","DOID:0050167"
"MGI:1927222","DOID:0060690"
"MGI:5462249","DOID:0060690"
"MGI:5468142","DOID:0060690"
"MGI:109618","DOID:0080720"
"MGI:2135756","DOID:0111206"
"MGI:88462","DOID:0080224"
"MGI:1351351","DOID:0090107"
"MGI:95766","DOID:0090108"
"MGI:5465568","DOID:0050948"
"MGI:1891427","DOID:0050948"
"MGI:1919847","DOID:0070056"
"MGI:1096317","DOID:0070068"
"MGI:1100511","DOID:0070069"
"MGI:1330299","DOID:0070037"
"MGI:5635522","DOID:0060871"
"MGI:95720","DOID:0060871"
"MGI:5767287","DOID:0110305"
