"omim_id","disease_id"
"OMIM:604320","DOID:0111064"
"OMIM:603813","DOID:0090105"
"OMIM:241520","DOID:0050949"
"OMIM:613312","DOID:0050949"
"OMIM:615637","DOID:0081206"
"OMIM:225100","DOID:0111149"
"OMIM:253600","DOID:0110275"
"OMIM:253601","DOID:0110276"
"OMIM:253700","DOID:0110277"
"OMIM:608099","DOID:0110278"
"OMIM:604286","DOID:0110279"
"OMIM:601287","DOID:0110280"
"OMIM:601954","DOID:0110281"
"OMIM:254110","DOID:0110282"
"OMIM:607155","DOID:0110299"
"OMIM:608807","DOID:0110283"
"OMIM:611307","DOID:0110284"
"OMIM:613818","DOID:0110293"
"OMIM:616052","DOID:0110295"
"OMIM:607197","DOID:0050565"
"OMIM:618145","DOID:0111640"
"OMIM:601386","DOID:0110467"
"OMIM:603720","DOID:0110471"
"OMIM:602092","DOID:0110473"
"OMIM:614945","DOID:0110474"
"OMIM:220290","DOID:0110475"
"OMIM:600060","DOID:0110477"
"OMIM:607039","DOID:0110480"
"OMIM:609533","DOID:0110481"
"OMIM:609823","DOID:0110486"
"OMIM:614035","DOID:0110487"
"OMIM:600316","DOID:0110488"
"OMIM:607101","DOID:0110489"
"OMIM:607084","DOID:0110490"
"OMIM:608653","DOID:0110491"
"OMIM:607821","DOID:0110495"
"OMIM:608219","DOID:0110496"
"OMIM:608265","DOID:0110497"
"OMIM:609646","DOID:0110500"
"OMIM:609439","DOID:0110505"
"OMIM:610153","DOID:0110506"
"OMIM:610220","DOID:0110511"
"OMIM:611451","DOID:0110515"
"OMIM:610419","DOID:0110519"
"OMIM:600974","DOID:0110520"
"OMIM:613718","DOID:0110523"
"OMIM:613307","DOID:0110526"
"OMIM:615429","DOID:0110533"
"OMIM:601071","DOID:0110535"
"OMIM:614899","DOID:0110537"
"OMIM:259700","DOID:0110942"
"OMIM:259710","DOID:0110943"
"OMIM:259730","DOID:0110941"
"OMIM:611490","DOID:0110944"
"OMIM:259720","DOID:0110939"
"OMIM:611497","DOID:0110945"
"OMIM:615085","DOID:0110940"
"OMIM:264350","DOID:0060854"
"OMIM:268310","DOID:0060764"
"OMIM:614322","DOID:0080060"
"OMIM:614831","DOID:0080062"
"OMIM:615768","DOID:0080029"
"OMIM:616204","DOID:0080042"
"OMIM:180500","DOID:0110120"
"OMIM:602482","DOID:0110122"
"OMIM:241850","DOID:0050655"
"OMIM:209900","DOID:0110123"
"OMIM:615987","DOID:0110132"
"OMIM:615993","DOID:0110138"
"OMIM:615994","DOID:0110139"
"OMIM:615995","DOID:0110140"
"OMIM:615981","DOID:0110124"
"OMIM:600151","DOID:0110125"
"OMIM:615982","DOID:0110126"
"OMIM:615983","DOID:0110127"
"OMIM:605231","DOID:0110128"
"OMIM:615985","DOID:0110130"
"OMIM:614266","DOID:9206"
"OMIM:302060","DOID:0050476"
"OMIM:601678","DOID:0110142"
"OMIM:241200","DOID:0110143"
"OMIM:607364","DOID:0110144"
"OMIM:602522","DOID:0110145"
"OMIM:114100","DOID:0060230"
"OMIM:213600","DOID:0060230"
"OMIM:615007","DOID:0060230"
"OMIM:615483","DOID:0060230"
"OMIM:123790","DOID:0050660"
"OMIM:300376","DOID:9883"
"OMIM:130650","DOID:5572"
"OMIM:121200","DOID:14264"
"OMIM:121201","DOID:14264"
"OMIM:269720","DOID:14264"
"OMIM:231200","DOID:2217"
"OMIM:611809","DOID:0050662"
"OMIM:248510","DOID:3633"
"OMIM:613985","DOID:12241"
"OMIM:158810","DOID:0050663"
"OMIM:261640","DOID:0090106"
"OMIM:233910","DOID:0112225"
"OMIM:210370","DOID:0050664"
"OMIM:210500","DOID:13608"
"OMIM:253260","DOID:856"
"OMIM:607483","DOID:0050659"
"OMIM:605808","DOID:0111079"
"OMIM:135150","DOID:0050676"
"OMIM:600057","DOID:0080174"
"OMIM:110100","DOID:14778"
"OMIM:308300","DOID:12305"
"OMIM:210900","DOID:2717"
"OMIM:303700","DOID:0050679"
"OMIM:301900","DOID:0050681"
"OMIM:615722","DOID:0112226"
"OMIM:607475","DOID:0050683"
"OMIM:211180","DOID:0050684"
"OMIM:112500","DOID:0110964"
"OMIM:615072","DOID:0110977"
"OMIM:112600","DOID:0110965"
"OMIM:113100","DOID:0110970"
"OMIM:601216","DOID:0090143"
"OMIM:175780","DOID:0090125"
"OMIM:614923","DOID:0090126"
"OMIM:114480","DOID:1612"
"OMIM:229200","DOID:14775"
"OMIM:259450","DOID:0060231"
"OMIM:609220","DOID:0060231"
"OMIM:601144","DOID:0110218"
"OMIM:613120","DOID:0110224"
"OMIM:300615","DOID:0060693"
"OMIM:146800","DOID:0060877"
"OMIM:231300","DOID:11211"
"OMIM:113970","DOID:8584"
"OMIM:125310","DOID:0111035"
"OMIM:114290","DOID:0050463"
"OMIM:131300","DOID:4997"
"OMIM:606631","DOID:4997"
"OMIM:271900","DOID:3613"
"OMIM:237300","DOID:9280"
"OMIM:619941","DOID:0061116"
"OMIM:160980","DOID:0050471"
"OMIM:605244","DOID:0050471"
"OMIM:608837","DOID:0050471"
"OMIM:255120","DOID:0090129"
"OMIM:201000","DOID:0061098"
